Year,mode,input_panel_orientation,capacity_source,round,received_demand_total,desired_output_total,realized_output_total,unmet_capacity_total,capacity_penalty_total,supplier_demand_total,absolute_supplier_demand_total,residual_share,mean_capacity_stress,median_capacity_stress,share_capacity_binding,share_capacity_missing,converged
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,45,141053.60809807232,141053.60809807232,141053.60809807232,0.0,0.0,132168.25726791105,132168.25726791105,4.6840860331691925e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,46,132168.25726791105,132168.25726791105,132168.25726791105,0.0,0.0,123868.7807460702,123868.7807460702,4.389949885336297e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,47,123868.7807460702,123868.7807460702,123868.7807460702,0.0,0.0,116113.81691507003,116113.81691507003,4.115111444401967e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,48,116113.81691507003,116113.81691507003,116113.81691507003,0.0,0.0,108865.2550489421,108865.2550489421,3.858220053840097e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,49,108865.2550489421,108865.2550489421,108865.2550489421,0.0,0.0,102087.93506314332,102087.93506314332,3.6180296288165697e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,50,102087.93506314332,102087.93506314332,102087.93506314332,0.0,0.0,95749.38133266658,95749.38133266658,3.393389222616502e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,51,95749.38133266658,95749.38133266658,95749.38133266658,0.0,0.0,89819.56582296689,89819.56582296689,3.1832346319272137e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,52,89819.56582296689,89819.56582296689,89819.56582296689,0.0,0.0,84270.69656679891,84270.69656679891,2.9865809003885388e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,53,84270.69656679891,84270.69656679891,84270.69656679891,0.0,0.0,79077.02815802857,79077.02815802857,2.802515602431858e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,54,79077.02815802857,79077.02815802857,79077.02815802857,0.0,0.0,74214.69145384606,74214.69145384606,2.6301928078711337e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,55,74214.69145384606,74214.69145384606,74214.69145384606,0.0,0.0,69661.54010410221,69661.54010410221,2.4688276428526595e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,56,69661.54010410221,69661.54010410221,69661.54010410221,0.0,0.0,65397.0118794348,65397.0118794348,2.3176913752787492e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,57,65397.0118794348,65397.0118794348,65397.0118794348,0.0,0.0,61402.00306286393,61402.00306286393,2.1761069632050135e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,58,61402.00306286393,61402.00306286393,61402.00306286393,0.0,0.0,57658.75441395213,57658.75441395213,2.043445013373099e-06,1.0,1.0,0.0,0.0,False
